YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2015,LA,Total Electric Power Industry,Petroleum,"4,243,085"
2015,LA,Total Electric Power Industry,Other Biomass,"96,275"
2015,LA,Total Electric Power Industry,Wood and Wood Derived Fuels,"2,608,468"
2015,LA,"Combined Heat and Power, Industrial Power",Total,"30,763,662"
2015,LA,"Combined Heat and Power, Industrial Power",Coal,0
2015,LA,"Combined Heat and Power, Industrial Power",Natural Gas,"24,750,504"
2015,LA,"Combined Heat and Power, Industrial Power",Other Gases,"2,400,747"
2015,LA,"Combined Heat and Power, Industrial Power",Other,"788,216"
2015,LA,"Combined Heat and Power, Industrial Power",Petroleum,"208,645"
2015,LA,"Combined Heat and Power, Industrial Power",Other Biomass,"7,082"
2015,LA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"2,608,468"
2015,LA,"Combined Heat and Power, Commercial Power",Total,"176,168"
2015,LA,"Combined Heat and Power, Commercial Power",Natural Gas,"176,168"
2015,LA,"Combined Heat and Power, Electric Power",Total,"2,709,824"
2015,LA,"Combined Heat and Power, Electric Power",Natural Gas,"2,709,824"
2015,LA,"Electric Generators, Independent Power Producers",Total,"8,432,811"
2015,LA,"Electric Generators, Independent Power Producers",Coal,"6,040,176"
2015,LA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"999,036"
2015,LA,"Electric Generators, Independent Power Producers",Natural Gas,"1,291,269"
2015,LA,"Electric Generators, Independent Power Producers",Petroleum,"13,137"
2015,LA,"Electric Generators, Independent Power Producers",Other Biomass,"89,193"
2015,LA,"Electric Generators, Electric Utilities",Total,"65,729,889"
2015,LA,"Electric Generators, Electric Utilities",Coal,"9,124,782"
2015,LA,"Electric Generators, Electric Utilities",Natural Gas,"37,283,067"
2015,LA,"Electric Generators, Electric Utilities",Nuclear,"15,300,736"
2015,LA,"Electric Generators, Electric Utilities",Petroleum,"4,021,304"
2015,MA,Total Electric Power Industry,Total,"32,085,969"
2015,MA,Total Electric Power Industry,Coal,"2,252,664"
2015,MA,Total Electric Power Industry,Pumped Storage,"-473,881"
2015,MA,Total Electric Power Industry,Hydroelectric Conventional,"827,184"
2015,MA,Total Electric Power Industry,Natural Gas,"21,007,411"
2015,MA,Total Electric Power Industry,Nuclear,"4,994,806"
2015,MA,Total Electric Power Industry,Other,"867,806"
2015,MA,Total Electric Power Industry,Petroleum,"777,075"
2015,MA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"451,366"
2015,MA,Total Electric Power Industry,Other Biomass,"1,047,103"
2015,MA,Total Electric Power Industry,Wind,"214,666"
2015,MA,Total Electric Power Industry,Wood and Wood Derived Fuels,"119,769"
2015,MA,"Combined Heat and Power, Industrial Power",Total,"181,406"
2015,MA,"Combined Heat and Power, Industrial Power",Coal,"17,048"
2015,MA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"4,691"
2015,MA,"Combined Heat and Power, Industrial Power",Natural Gas,"156,701"
2015,MA,"Combined Heat and Power, Industrial Power",Other,0
2015,MA,"Combined Heat and Power, Industrial Power",Petroleum,167
2015,MA,"Combined Heat and Power, Industrial Power",Wind,"2,799"
2015,MA,"Combined Heat and Power, Commercial Power",Total,"535,128"
2015,MA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"5,596"
2015,MA,"Combined Heat and Power, Commercial Power",Natural Gas,"460,996"
2015,MA,"Combined Heat and Power, Commercial Power",Petroleum,"39,074"
2015,MA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"2,954"
2015,MA,"Combined Heat and Power, Commercial Power",Other Biomass,775
2015,MA,"Combined Heat and Power, Commercial Power",Wind,"25,734"
2015,MA,"Combined Heat and Power, Electric Power",Total,"2,808,851"
2015,MA,"Combined Heat and Power, Electric Power",Natural Gas,"2,766,061"
2015,MA,"Combined Heat and Power, Electric Power",Petroleum,"42,789"
2015,MA,"Electric Generators, Independent Power Producers",Total,"27,845,467"
2015,MA,"Electric Generators, Independent Power Producers",Coal,"2,235,616"
2015,MA,"Electric Generators, Independent Power Producers",Pumped Storage,"-473,881"
2015,MA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"615,846"
2015,MA,"Electric Generators, Independent Power Producers",Natural Gas,"17,245,790"
2015,MA,"Electric Generators, Independent Power Producers",Nuclear,"4,994,806"
2015,MA,"Electric Generators, Independent Power Producers",Other,"867,806"
2015,MA,"Electric Generators, Independent Power Producers",Petroleum,"634,514"
2015,MA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"434,874"
2015,MA,"Electric Generators, Independent Power Producers",Other Biomass,"1,046,328"
2015,MA,"Electric Generators, Independent Power Producers",Wind,"124,000"
2015,MA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"119,769"
2015,MA,"Electric Generators, Electric Utilities",Total,"715,117"
2015,MA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"201,051"
2015,MA,"Electric Generators, Electric Utilities",Natural Gas,"377,863"
2015,MA,"Electric Generators, Electric Utilities",Petroleum,"60,532"
2015,MA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"13,538"
2015,MA,"Electric Generators, Electric Utilities",Wind,"62,133"
2015,MD,Total Electric Power Industry,Total,"36,365,544"
2015,MD,Total Electric Power Industry,Coal,"13,925,604"
2015,MD,Total Electric Power Industry,Hydroelectric Conventional,"1,623,190"
2015,MD,Total Electric Power Industry,Natural Gas,"4,555,345"
2015,MD,Total Electric Power Industry,Nuclear,"14,643,325"
2015,MD,Total Electric Power Industry,Other,"317,935"
2015,MD,Total Electric Power Industry,Petroleum,"232,348"
2015,MD,Total Electric Power Industry,Solar Thermal and Photovoltaic,"118,801"
2015,MD,Total Electric Power Industry,Other Biomass,"403,239"
2015,MD,Total Electric Power Industry,Wind,"434,595"
2015,MD,Total Electric Power Industry,Wood and Wood Derived Fuels,"111,162"
2015,MD,"Combined Heat and Power, Industrial Power",Total,"275,644"
2015,MD,"Combined Heat and Power, Industrial Power",Coal,"115,478"
2015,MD,"Combined Heat and Power, Industrial Power",Natural Gas,"58,549"
2015,MD,"Combined Heat and Power, Industrial Power",Petroleum,"1,740"
2015,MD,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"99,877"
2015,MD,"Combined Heat and Power, Commercial Power",Total,"503,791"
2015,MD,"Combined Heat and Power, Commercial Power",Coal,189
2015,MD,"Combined Heat and Power, Commercial Power",Natural Gas,"466,142"
2015,MD,"Combined Heat and Power, Commercial Power",Other,0
2015,MD,"Combined Heat and Power, Commercial Power",Petroleum,"16,159"
2015,MD,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"6,773"
2015,MD,"Combined Heat and Power, Commercial Power",Other Biomass,"3,243"
2015,MD,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"11,286"
2015,MD,"Combined Heat and Power, Electric Power",Total,"2,936,736"
2015,MD,"Combined Heat and Power, Electric Power",Coal,"1,164,608"
2015,MD,"Combined Heat and Power, Electric Power",Natural Gas,"1,442,189"
2015,MD,"Combined Heat and Power, Electric Power",Other,"157,730"
2015,MD,"Combined Heat and Power, Electric Power",Petroleum,"8,038"
2015,MD,"Combined Heat and Power, Electric Power",Other Biomass,"164,171"
2015,MD,"Electric Generators, Independent Power Producers",Total,"32,629,965"
2015,MD,"Electric Generators, Independent Power Producers",Coal,"12,645,330"
2015,MD,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"1,623,190"
2015,MD,"Electric Generators, Independent Power Producers",Natural Gas,"2,588,465"
2015,MD,"Electric Generators, Independent Power Producers",Nuclear,"14,643,325"
2015,MD,"Electric Generators, Independent Power Producers",Other,"160,204"
2015,MD,"Electric Generators, Independent Power Producers",Petroleum,"195,469"
2015,MD,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"103,562"
2015,MD,"Electric Generators, Independent Power Producers",Other Biomass,"235,825"
2015,MD,"Electric Generators, Independent Power Producers",Wind,"434,595"
2015,MD,"Electric Generators, Electric Utilities",Total,"19,408"
2015,MD,"Electric Generators, Electric Utilities",Natural Gas,0
2015,MD,"Electric Generators, Electric Utilities",Petroleum,"10,941"
2015,MD,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"8,467"
2015,ME,Total Electric Power Industry,Total,"11,741,265"
2015,ME,Total Electric Power Industry,Coal,"91,901"
2015,ME,Total Electric Power Industry,Hydroelectric Conventional,"3,360,527"
2015,ME,Total Electric Power Industry,Natural Gas,"2,951,906"
2015,ME,Total Electric Power Industry,Other,"340,013"
2015,ME,Total Electric Power Industry,Petroleum,"548,263"
2015,ME,Total Electric Power Industry,Other Biomass,"182,921"
2015,ME,Total Electric Power Industry,Wind,"1,295,708"
2015,ME,Total Electric Power Industry,Wood and Wood Derived Fuels,"2,970,026"
2015,ME,"Combined Heat and Power, Industrial Power",Total,"2,212,412"
2015,ME,"Combined Heat and Power, Industrial Power",Coal,"27,029"
2015,ME,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"389,786"
2015,ME,"Combined Heat and Power, Industrial Power",Natural Gas,"407,803"
2015,ME,"Combined Heat and Power, Industrial Power",Other,"107,945"
2015,ME,"Combined Heat and Power, Industrial Power",Petroleum,"33,668"
2015,ME,"Combined Heat and Power, Industrial Power",Other Biomass,"18,046"
2015,ME,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"1,228,135"
2015,ME,"Combined Heat and Power, Commercial Power",Total,"206,050"
2015,ME,"Combined Heat and Power, Commercial Power",Natural Gas,"27,222"
2015,ME,"Combined Heat and Power, Commercial Power",Other,"85,650"
2015,ME,"Combined Heat and Power, Commercial Power",Petroleum,"2,606"
2015,ME,"Combined Heat and Power, Commercial Power",Other Biomass,"89,142"
2015,ME,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"1,430"
2015,ME,"Combined Heat and Power, Electric Power",Total,"665,508"
2015,ME,"Combined Heat and Power, Electric Power",Coal,"64,872"
2015,ME,"Combined Heat and Power, Electric Power",Natural Gas,"54,578"
2015,ME,"Combined Heat and Power, Electric Power",Other,"108,467"
2015,ME,"Combined Heat and Power, Electric Power",Petroleum,"22,887"
2015,ME,"Combined Heat and Power, Electric Power",Other Biomass,"3,893"
2015,ME,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"410,810"
2015,ME,"Electric Generators, Independent Power Producers",Total,"8,657,211"
2015,ME,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"2,970,741"
2015,ME,"Electric Generators, Independent Power Producers",Natural Gas,"2,462,303"
2015,ME,"Electric Generators, Independent Power Producers",Other,"37,951"
2015,ME,"Electric Generators, Independent Power Producers",Petroleum,"489,018"
2015,ME,"Electric Generators, Independent Power Producers",Other Biomass,"71,840"
2015,ME,"Electric Generators, Independent Power Producers",Wind,"1,295,708"
2015,ME,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"1,329,650"
2015,ME,"Electric Generators, Electric Utilities",Total,84
2015,ME,"Electric Generators, Electric Utilities",Petroleum,84
2015,MI,Total Electric Power Industry,Total,"113,008,050"
2015,MI,Total Electric Power Industry,Coal,"52,884,033"
2015,MI,Total Electric Power Industry,Pumped Storage,"-480,821"
2015,MI,Total Electric Power Industry,Hydroelectric Conventional,"1,499,223"
2015,MI,Total Electric Power Industry,Natural Gas,"20,044,798"
2015,MI,Total Electric Power Industry,Nuclear,"29,333,786"
2015,MI,Total Electric Power Industry,Other Gases,"1,212,778"
2015,MI,Total Electric Power Industry,Other,"404,802"
2015,MI,Total Electric Power Industry,Petroleum,"826,492"
2015,MI,Total Electric Power Industry,Solar Thermal and Photovoltaic,"1,190"
2015,MI,Total Electric Power Industry,Other Biomass,"1,038,263"
2015,MI,Total Electric Power Industry,Wind,"4,796,898"
2015,MI,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,446,608"
2015,MI,"Combined Heat and Power, Industrial Power",Total,"1,280,344"
2015,MI,"Combined Heat and Power, Industrial Power",Coal,"132,175"
2015,MI,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"30,037"
2015,MI,"Combined Heat and Power, Industrial Power",Natural Gas,"273,011"
2015,MI,"Combined Heat and Power, Industrial Power",Other,"21,218"
2015,MI,"Combined Heat and Power, Industrial Power",Petroleum,"148,955"
2015,MI,"Combined Heat and Power, Industrial Power",Other Biomass,"5,383"
2015,MI,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"669,564"
2015,MI,"Combined Heat and Power, Commercial Power",Total,"1,012,742"
2015,MI,"Combined Heat and Power, Commercial Power",Coal,"62,476"
2015,MI,"Combined Heat and Power, Commercial Power",Natural Gas,"555,313"
2015,MI,"Combined Heat and Power, Commercial Power",Other,"191,809"
2015,MI,"Combined Heat and Power, Commercial Power",Petroleum,"2,310"
2015,MI,"Combined Heat and Power, Commercial Power",Other Biomass,"199,640"
2015,MI,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"1,195"
2015,MI,"Combined Heat and Power, Electric Power",Total,"10,925,817"
2015,MI,"Combined Heat and Power, Electric Power",Coal,"392,824"
2015,MI,"Combined Heat and Power, Electric Power",Natural Gas,"9,382,141"
2015,MI,"Combined Heat and Power, Electric Power",Other Gases,"1,034,452"
2015,MI,"Combined Heat and Power, Electric Power",Other,"60,593"
2015,MI,"Combined Heat and Power, Electric Power",Petroleum,"29,415"
2015,MI,"Combined Heat and Power, Electric Power",Other Biomass,"4,205"
2015,MI,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,187"
2015,MI,"Electric Generators, Independent Power Producers",Total,"14,418,920"
2015,MI,"Electric Generators, Independent Power Producers",Coal,0
2015,MI,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"82,615"
2015,MI,"Electric Generators, Independent Power Producers",Natural Gas,"3,513,924"
2015,MI,"Electric Generators, Independent Power Producers",Nuclear,"6,318,520"
2015,MI,"Electric Generators, Independent Power Producers",Other,"99,262"
2015,MI,"Electric Generators, Independent Power Producers",Petroleum,0
2015,MI,"Electric Generators, Independent Power Producers",Other Biomass,"829,035"
2015,MI,"Electric Generators, Independent Power Producers",Wind,"2,821,905"
2015,MI,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"753,658"
2015,MI,"Electric Generators, Electric Utilities",Total,"85,370,227"
2015,MI,"Electric Generators, Electric Utilities",Coal,"52,296,558"
2015,MI,"Electric Generators, Electric Utilities",Pumped Storage,"-480,821"
2015,MI,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,386,571"
2015,MI,"Electric Generators, Electric Utilities",Natural Gas,"6,320,409"
2015,MI,"Electric Generators, Electric Utilities",Nuclear,"23,015,266"
2015,MI,"Electric Generators, Electric Utilities",Other Gases,"178,326"
2015,MI,"Electric Generators, Electric Utilities",Other,"31,920"
2015,MI,"Electric Generators, Electric Utilities",Petroleum,"645,811"
2015,MI,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"1,190"
2015,MI,"Electric Generators, Electric Utilities",Wind,"1,974,993"
2015,MI,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,4
2015,MN,Total Electric Power Industry,Total,"56,979,768"
2015,MN,Total Electric Power Industry,Coal,"24,697,098"
2015,MN,Total Electric Power Industry,Hydroelectric Conventional,"849,054"
2015,MN,Total Electric Power Industry,Natural Gas,"7,389,438"
2015,MN,Total Electric Power Industry,Nuclear,"12,038,606"
2015,MN,Total Electric Power Industry,Other,"389,976"
2015,MN,Total Electric Power Industry,Petroleum,"27,939"
2015,MN,Total Electric Power Industry,Solar Thermal and Photovoltaic,"2,789"
2015,MN,Total Electric Power Industry,Other Biomass,"628,826"
2015,MN,Total Electric Power Industry,Wind,"9,778,845"
2015,MN,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,177,196"
2015,MN,"Combined Heat and Power, Industrial Power",Total,"1,452,813"
2015,MN,"Combined Heat and Power, Industrial Power",Coal,"585,568"
2015,MN,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"115,265"
2015,MN,"Combined Heat and Power, Industrial Power",Natural Gas,"121,592"
2015,MN,"Combined Heat and Power, Industrial Power",Other,"51,154"
2015,MN,"Combined Heat and Power, Industrial Power",Petroleum,712
2015,MN,"Combined Heat and Power, Industrial Power",Other Biomass,"12,083"
2015,MN,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"566,440"
2015,MN,"Combined Heat and Power, Commercial Power",Total,"190,619"
2015,MN,"Combined Heat and Power, Commercial Power",Coal,959
2015,MN,"Combined Heat and Power, Commercial Power",Natural Gas,"105,350"
2015,MN,"Combined Heat and Power, Commercial Power",Other,"33,586"
2015,MN,"Combined Heat and Power, Commercial Power",Petroleum,"1,143"
2015,MN,"Combined Heat and Power, Commercial Power",Other Biomass,"19,597"
2015,MN,"Combined Heat and Power, Commercial Power",Wind,"29,063"
2015,MN,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,921
2015,MN,"Combined Heat and Power, Electric Power",Total,"515,907"
2015,MN,"Combined Heat and Power, Electric Power",Natural Gas,"251,317"
2015,MN,"Combined Heat and Power, Electric Power",Petroleum,0
2015,MN,"Combined Heat and Power, Electric Power",Other Biomass,"83,073"
2015,MN,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"181,517"
2015,MN,"Electric Generators, Independent Power Producers",Total,"9,003,450"
2015,MN,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"183,243"
2015,MN,"Electric Generators, Independent Power Producers",Natural Gas,"519,448"
2015,MN,"Electric Generators, Independent Power Producers",Other,"132,417"
2015,MN,"Electric Generators, Independent Power Producers",Petroleum,"4,551"
2015,MN,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"2,789"
2015,MN,"Electric Generators, Independent Power Producers",Other Biomass,"301,751"
2015,MN,"Electric Generators, Independent Power Producers",Wind,"7,597,549"
2015,MN,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"261,702"
2015,MN,"Electric Generators, Electric Utilities",Total,"45,816,979"
2015,MN,"Electric Generators, Electric Utilities",Coal,"24,110,571"
2015,MN,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"550,546"
2015,MN,"Electric Generators, Electric Utilities",Natural Gas,"6,391,731"
2015,MN,"Electric Generators, Electric Utilities",Nuclear,"12,038,606"
2015,MN,"Electric Generators, Electric Utilities",Other,"172,819"
2015,MN,"Electric Generators, Electric Utilities",Petroleum,"21,533"
2015,MN,"Electric Generators, Electric Utilities",Other Biomass,"212,322"
2015,MN,"Electric Generators, Electric Utilities",Wind,"2,152,233"
2015,MN,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,"166,617"
2015,MO,Total Electric Power Industry,Total,"83,640,067"
2015,MO,Total Electric Power Industry,Coal,"65,325,521"
2015,MO,Total Electric Power Industry,Pumped Storage,"347,749"
2015,MO,Total Electric Power Industry,Hydroelectric Conventional,"1,595,020"
2015,MO,Total Electric Power Industry,Natural Gas,"4,596,413"
2015,MO,Total Electric Power Industry,Nuclear,"10,440,082"
2015,MO,Total Electric Power Industry,Other,"57,564"
2015,MO,Total Electric Power Industry,Petroleum,"98,842"
2015,MO,Total Electric Power Industry,Solar Thermal and Photovoltaic,"16,898"
2015,MO,Total Electric Power Industry,Other Biomass,"99,841"
2015,MO,Total Electric Power Industry,Wind,"1,033,076"
2015,MO,Total Electric Power Industry,Wood and Wood Derived Fuels,"29,061"
2015,MO,"Combined Heat and Power, Industrial Power",Total,"43,202"
2015,MO,"Combined Heat and Power, Industrial Power",Coal,"20,709"
2015,MO,"Combined Heat and Power, Industrial Power",Natural Gas,"19,866"
2015,MO,"Combined Heat and Power, Industrial Power",Petroleum,0
2015,MO,"Combined Heat and Power, Industrial Power",Other Biomass,"2,627"
2015,MO,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,0
2015,MO,"Combined Heat and Power, Commercial Power",Total,"163,979"
2015,MO,"Combined Heat and Power, Commercial Power",Coal,"58,069"
2015,MO,"Combined Heat and Power, Commercial Power",Natural Gas,"76,348"
2015,MO,"Combined Heat and Power, Commercial Power",Petroleum,53
2015,MO,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,448
2015,MO,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"29,061"
2015,MO,"Combined Heat and Power, Electric Power",Total,"39,631"
2015,MO,"Combined Heat and Power, Electric Power",Coal,"25,533"
2015,MO,"Combined Heat and Power, Electric Power",Natural Gas,"14,091"
2015,MO,"Combined Heat and Power, Electric Power",Petroleum,7
2015,MO,"Electric Generators, Independent Power Producers",Total,"2,514,338"
2015,MO,"Electric Generators, Independent Power Producers",Coal,0
2015,MO,"Electric Generators, Independent Power Producers",Natural Gas,"1,409,463"
2015,MO,"Electric Generators, Independent Power Producers",Petroleum,0
2015,MO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"16,450"
2015,MO,"Electric Generators, Independent Power Producers",Other Biomass,"55,349"
2015,MO,"Electric Generators, Independent Power Producers",Wind,"1,033,076"
2015,MO,"Electric Generators, Electric Utilities",Total,"80,878,917"
2015,MO,"Electric Generators, Electric Utilities",Coal,"65,221,210"
2015,MO,"Electric Generators, Electric Utilities",Pumped Storage,"347,749"
2015,MO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,595,020"
2015,MO,"Electric Generators, Electric Utilities",Natural Gas,"3,076,646"
2015,MO,"Electric Generators, Electric Utilities",Nuclear,"10,440,082"
2015,MO,"Electric Generators, Electric Utilities",Other,"57,564"
2015,MO,"Electric Generators, Electric Utilities",Petroleum,"98,782"
2015,MO,"Electric Generators, Electric Utilities",Other Biomass,"41,865"
2015,MO,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2015,MS,Total Electric Power Industry,Total,"64,757,864"
2015,MS,Total Electric Power Industry,Coal,"6,399,605"
2015,MS,Total Electric Power Industry,Natural Gas,"45,116,943"
2015,MS,Total Electric Power Industry,Nuclear,"11,714,588"
2015,MS,Total Electric Power Industry,Other,"6,066"
2015,MS,Total Electric Power Industry,Petroleum,"14,129"
2015,MS,Total Electric Power Industry,Other Biomass,"13,454"
2015,MS,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,493,078"
2015,MS,"Combined Heat and Power, Industrial Power",Total,"1,912,810"
2015,MS,"Combined Heat and Power, Industrial Power",Coal,0
2015,MS,"Combined Heat and Power, Industrial Power",Natural Gas,"411,465"
2015,MS,"Combined Heat and Power, Industrial Power",Other,"6,066"
2015,MS,"Combined Heat and Power, Industrial Power",Petroleum,"1,726"
2015,MS,"Combined Heat and Power, Industrial Power",Other Biomass,525
2015,MS,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"1,493,027"
2015,MS,"Combined Heat and Power, Commercial Power",Total,"7,117"
2015,MS,"Combined Heat and Power, Commercial Power",Natural Gas,"7,117"
2015,MS,"Electric Generators, Independent Power Producers",Total,"6,564,984"
2015,MS,"Electric Generators, Independent Power Producers",Coal,"3,029,029"
2015,MS,"Electric Generators, Independent Power Producers",Natural Gas,"3,523,026"
2015,MS,"Electric Generators, Independent Power Producers",Other Biomass,"12,929"
2015,MS,"Electric Generators, Electric Utilities",Total,"56,272,953"
2015,MS,"Electric Generators, Electric Utilities",Coal,"3,370,576"
2015,MS,"Electric Generators, Electric Utilities",Natural Gas,"41,175,335"
2015,MS,"Electric Generators, Electric Utilities",Nuclear,"11,714,588"
2015,MS,"Electric Generators, Electric Utilities",Petroleum,"12,403"
2015,MS,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,51
2015,MT,Total Electric Power Industry,Total,"29,302,401"
2015,MT,Total Electric Power Industry,Coal,"16,013,206"
2015,MT,Total Electric Power Industry,Hydroelectric Conventional,"9,887,729"
2015,MT,Total Electric Power Industry,Natural Gas,"599,206"
2015,MT,Total Electric Power Industry,Other Gases,"17,055"
2015,MT,Total Electric Power Industry,Other,"302,772"
2015,MT,Total Electric Power Industry,Petroleum,"496,426"
2015,MT,Total Electric Power Industry,Wind,"1,964,726"
2015,MT,Total Electric Power Industry,Wood and Wood Derived Fuels,"21,281"
2015,MT,"Combined Heat and Power, Industrial Power",Total,"27,781"
2015,MT,"Combined Heat and Power, Industrial Power",Coal,"6,500"
2015,MT,"Combined Heat and Power, Industrial Power",Natural Gas,0
2015,MT,"Combined Heat and Power, Industrial Power",Other Gases,0
2015,MT,"Combined Heat and Power, Industrial Power",Petroleum,0
2015,MT,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"21,281"
2015,MT,"Combined Heat and Power, Electric Power",Total,"500,087"
2015,MT,"Combined Heat and Power, Electric Power",Other Gases,"17,055"
2015,MT,"Combined Heat and Power, Electric Power",Petroleum,"483,032"
2015,MT,"Electric Generators, Independent Power Producers",Total,"18,057,431"
2015,MT,"Electric Generators, Independent Power Producers",Coal,"15,785,532"
2015,MT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"143,093"
2015,MT,"Electric Generators, Independent Power Producers",Natural Gas,"64,927"
2015,MT,"Electric Generators, Independent Power Producers",Other,"302,772"
2015,MT,"Electric Generators, Independent Power Producers",Petroleum,"13,150"
2015,MT,"Electric Generators, Independent Power Producers",Wind,"1,747,956"
2015,MT,"Electric Generators, Electric Utilities",Total,"10,717,102"
2015,MT,"Electric Generators, Electric Utilities",Coal,"221,173"
2015,MT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"9,744,636"
2015,MT,"Electric Generators, Electric Utilities",Natural Gas,"534,279"
2015,MT,"Electric Generators, Electric Utilities",Petroleum,244
2015,MT,"Electric Generators, Electric Utilities",Wind,"216,770"
2015,NC,Total Electric Power Industry,Total,"128,388,445"
2015,NC,Total Electric Power Industry,Coal,"39,922,168"
2015,NC,Total Electric Power Industry,Pumped Storage,94
2015,NC,Total Electric Power Industry,Hydroelectric Conventional,"4,742,004"
2015,NC,Total Electric Power Industry,Natural Gas,"36,544,596"
2015,NC,Total Electric Power Industry,Nuclear,"42,096,761"
2015,NC,Total Electric Power Industry,Other,"685,283"
2015,NC,Total Electric Power Industry,Petroleum,"434,587"
2015,NC,Total Electric Power Industry,Solar Thermal and Photovoltaic,"1,373,579"
2015,NC,Total Electric Power Industry,Other Biomass,"544,024"
2015,NC,Total Electric Power Industry,Wood and Wood Derived Fuels,"2,045,348"
2015,NC,"Combined Heat and Power, Industrial Power",Total,"1,997,538"
2015,NC,"Combined Heat and Power, Industrial Power",Coal,"180,868"
2015,NC,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,0
2015,NC,"Combined Heat and Power, Industrial Power",Natural Gas,"175,757"
2015,NC,"Combined Heat and Power, Industrial Power",Other,"298,957"
2015,NC,"Combined Heat and Power, Industrial Power",Petroleum,"13,647"
2015,NC,"Combined Heat and Power, Industrial Power",Other Biomass,"1,232"
2015,NC,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"1,327,078"
2015,NC,"Combined Heat and Power, Commercial Power",Total,"227,797"
2015,NC,"Combined Heat and Power, Commercial Power",Coal,"55,614"
2015,NC,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"10,951"
2015,NC,"Combined Heat and Power, Commercial Power",Natural Gas,"7,977"
2015,NC,"Combined Heat and Power, Commercial Power",Petroleum,388
2015,NC,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"77,746"
2015,NC,"Combined Heat and Power, Commercial Power",Other Biomass,"75,121"
2015,NC,"Combined Heat and Power, Electric Power",Total,"849,983"
2015,NC,"Combined Heat and Power, Electric Power",Coal,"305,873"
2015,NC,"Combined Heat and Power, Electric Power",Other,"266,207"
2015,NC,"Combined Heat and Power, Electric Power",Petroleum,"7,569"
